date,county,state,fips,cases,deaths,cured
2020-01-26,Maricopa,Arizona,4013,1,0,1
2020-01-27,Maricopa,Arizona,4013,1,0,1
2020-01-28,Maricopa,Arizona,4013,1,0,1
2020-01-29,Maricopa,Arizona,4013,1,0,1
2020-01-30,Maricopa,Arizona,4013,1,0,1
2020-01-31,Maricopa,Arizona,4013,1,0,1
2020-02-01,Maricopa,Arizona,4013,1,0,1
2020-02-02,Maricopa,Arizona,4013,1,0,1
2020-02-03,Maricopa,Arizona,4013,1,0,1
2020-02-04,Maricopa,Arizona,4013,1,0,1
2020-02-05,Maricopa,Arizona,4013,1,0,1
2020-02-06,Maricopa,Arizona,4013,1,0,1
2020-02-07,Maricopa,Arizona,4013,1,0,1
2020-02-08,Maricopa,Arizona,4013,1,0,1
2020-02-09,Maricopa,Arizona,4013,1,0,1
2020-02-10,Maricopa,Arizona,4013,1,0,1
2020-02-11,Maricopa,Arizona,4013,1,0,1
2020-02-12,Maricopa,Arizona,4013,1,0,1
2020-02-13,Maricopa,Arizona,4013,1,0,1
2020-02-14,Maricopa,Arizona,4013,1,0,1
2020-02-15,Maricopa,Arizona,4013,1,0,1
2020-02-16,Maricopa,Arizona,4013,1,0,1
2020-02-17,Maricopa,Arizona,4013,1,0,1
2020-02-18,Maricopa,Arizona,4013,1,0,1
2020-02-19,Maricopa,Arizona,4013,1,0,1
2020-02-20,Maricopa,Arizona,4013,1,0,1
2020-02-21,Maricopa,Arizona,4013,1,0,1
2020-02-22,Maricopa,Arizona,4013,1,0,1
2020-02-23,Maricopa,Arizona,4013,1,0,1
2020-02-24,Maricopa,Arizona,4013,1,0,1
2020-02-25,Maricopa,Arizona,4013,1,0,1
2020-02-26,Maricopa,Arizona,4013,1,0,1
2020-02-27,Maricopa,Arizona,4013,1,0,1
2020-02-28,Maricopa,Arizona,4013,1,0,1
2020-02-29,Maricopa,Arizona,4013,1,0,1
2020-03-01,Maricopa,Arizona,4013,1,0,1
2020-03-02,Maricopa,Arizona,4013,1,0,1
2020-03-03,Maricopa,Arizona,4013,2,0,2
2020-03-04,Maricopa,Arizona,4013,2,0,2
2020-03-05,Maricopa,Arizona,4013,2,0,2
2020-03-06,Maricopa,Arizona,4013,2,0,2
2020-03-07,Maricopa,Arizona,4013,2,0,2
2020-03-08,Maricopa,Arizona,4013,2,0,2
2020-03-09,Maricopa,Arizona,4013,2,0,2
2020-03-10,Maricopa,Arizona,4013,2,0,2
2020-03-11,Maricopa,Arizona,4013,3,0,3
2020-03-12,Maricopa,Arizona,4013,3,0,3
2020-03-13,Maricopa,Arizona,4013,3,0,3
2020-03-14,Maricopa,Arizona,4013,4,0,4
2020-03-15,Maricopa,Arizona,4013,4,0,4
2020-03-16,Maricopa,Arizona,4013,8,0,8
2020-03-17,Maricopa,Arizona,4013,9,0,9
2020-03-18,Maricopa,Arizona,4013,11,0,11
2020-03-19,Maricopa,Arizona,4013,22,0,22
2020-03-20,Maricopa,Arizona,4013,34,1,33
2020-03-21,Maricopa,Arizona,4013,49,1,48
2020-03-22,Maricopa,Arizona,4013,81,2,79
2020-03-23,Maricopa,Arizona,4013,139,2,137
2020-03-24,Maricopa,Arizona,4013,199,2,197
2020-03-25,Maricopa,Arizona,4013,251,2,249
2020-03-26,Maricopa,Arizona,4013,299,4,295
2020-03-27,Maricopa,Arizona,4013,399,5,394
2020-03-28,Maricopa,Arizona,4013,454,5,449
2020-03-29,Maricopa,Arizona,4013,546,5,541
2020-03-30,Maricopa,Arizona,4013,690,5,685
2020-03-31,Maricopa,Arizona,4013,791,8,783
2020-04-01,Maricopa,Arizona,4013,871,8,863
2020-04-02,Maricopa,Arizona,4013,961,12,949
2020-04-03,Maricopa,Arizona,4013,1049,17,1032
2020-04-04,Maricopa,Arizona,4013,1171,28,1143
2020-04-05,Maricopa,Arizona,4013,1326,31,1295
2020-04-06,Maricopa,Arizona,4013,1433,31,1402
2020-04-07,Maricopa,Arizona,4013,1495,35,1460
2020-04-08,Maricopa,Arizona,4013,1559,37,1522
2020-04-09,Maricopa,Arizona,4013,1689,39,1650
2020-04-10,Maricopa,Arizona,4013,1741,41,1700
2020-04-11,Maricopa,Arizona,4013,1891,47,1844
2020-04-12,Maricopa,Arizona,4013,1960,48,1912
2020-04-13,Maricopa,Arizona,4013,2020,52,1968
2020-04-14,Maricopa,Arizona,4013,2056,54,2002
2020-04-15,Maricopa,Arizona,4013,2146,60,2086
2020-04-16,Maricopa,Arizona,4013,2264,64,2200
2020-04-17,Maricopa,Arizona,4013,2404,69,2335
2020-04-18,Maricopa,Arizona,4013,2491,70,2421
2020-04-19,Maricopa,Arizona,4013,2589,75,2514
2020-04-20,Maricopa,Arizona,4013,2636,75,2561
2020-04-21,Maricopa,Arizona,4013,2738,84,2654
2020-04-22,Maricopa,Arizona,4013,2846,97,2749
2020-04-23,Maricopa,Arizona,4013,2970,115,2855
2020-04-24,Maricopa,Arizona,4013,3116,120,2996
2020-04-25,Maricopa,Arizona,4013,3234,121,3113
2020-04-26,Maricopa,Arizona,4013,3359,122,3237
2020-04-27,Maricopa,Arizona,4013,3457,122,3335
2020-04-28,Maricopa,Arizona,4013,3578,137,3441
2020-04-29,Maricopa,Arizona,4013,3723,140,3583
2020-04-30,Maricopa,Arizona,4013,3972,145,3827
2020-05-01,Maricopa,Arizona,4013,4156,147,4009
2020-05-02,Maricopa,Arizona,4013,4421,159,4262
2020-05-03,Maricopa,Arizona,4013,4585,168,4417
2020-05-04,Maricopa,Arizona,4013,4751,168,4583
2020-05-05,Maricopa,Arizona,4013,4929,175,4754
2020-05-06,Maricopa,Arizona,4013,5138,186,4952
2020-05-07,Maricopa,Arizona,4013,5196,204,4992
2020-05-08,Maricopa,Arizona,4013,5525,238,5287
2020-05-09,Maricopa,Arizona,4013,5779,245,5534
2020-05-10,Maricopa,Arizona,4013,5827,247,5580
2020-05-11,Maricopa,Arizona,4013,5988,250,5738
2020-05-12,Maricopa,Arizona,4013,6219,259,5960
2020-05-13,Maricopa,Arizona,4013,6341,281,6060
2020-05-14,Maricopa,Arizona,4013,6599,292,6307
2020-05-15,Maricopa,Arizona,4013,6821,302,6519
2020-05-16,Maricopa,Arizona,4013,7096,319,6777
2020-05-17,Maricopa,Arizona,4013,7240,319,6921
