date,county,state,fips,cases,deaths,cured
2020-03-11,Miami-Dade,Florida,12086,1,0,1
2020-03-12,Miami-Dade,Florida,12086,2,0,2
2020-03-13,Miami-Dade,Florida,12086,8,0,8
2020-03-14,Miami-Dade,Florida,12086,8,0,8
2020-03-15,Miami-Dade,Florida,12086,13,0,13
2020-03-16,Miami-Dade,Florida,12086,23,0,23
2020-03-17,Miami-Dade,Florida,12086,43,0,43
2020-03-18,Miami-Dade,Florida,12086,77,0,77
2020-03-19,Miami-Dade,Florida,12086,101,0,101
2020-03-20,Miami-Dade,Florida,12086,124,0,124
2020-03-21,Miami-Dade,Florida,12086,170,0,170
2020-03-22,Miami-Dade,Florida,12086,228,0,228
2020-03-23,Miami-Dade,Florida,12086,277,0,277
2020-03-24,Miami-Dade,Florida,12086,365,0,365
2020-03-25,Miami-Dade,Florida,12086,489,0,489
2020-03-26,Miami-Dade,Florida,12086,653,0,653
2020-03-27,Miami-Dade,Florida,12086,869,2,867
2020-03-28,Miami-Dade,Florida,12086,1121,3,1118
2020-03-29,Miami-Dade,Florida,12086,1471,3,1468
2020-03-30,Miami-Dade,Florida,12086,1700,4,1696
2020-03-31,Miami-Dade,Florida,12086,2123,7,2116
2020-04-01,Miami-Dade,Florida,12086,2415,11,2404
2020-04-02,Miami-Dade,Florida,12086,2885,20,2865
2020-04-03,Miami-Dade,Florida,12086,3363,25,3338
2020-04-04,Miami-Dade,Florida,12086,3889,31,3858
2020-04-05,Miami-Dade,Florida,12086,4145,31,4114
2020-04-06,Miami-Dade,Florida,12086,4670,41,4629
2020-04-07,Miami-Dade,Florida,12086,5125,47,5078
2020-04-08,Miami-Dade,Florida,12086,5460,50,5410
2020-04-09,Miami-Dade,Florida,12086,5897,66,5831
2020-04-10,Miami-Dade,Florida,12086,6299,84,6215
2020-04-11,Miami-Dade,Florida,12086,6757,93,6664
2020-04-12,Miami-Dade,Florida,12086,7057,97,6960
2020-04-13,Miami-Dade,Florida,12086,7458,109,7349
2020-04-14,Miami-Dade,Florida,12086,7711,143,7568
2020-04-15,Miami-Dade,Florida,12086,8066,155,7911
2020-04-16,Miami-Dade,Florida,12086,8325,183,8142
2020-04-17,Miami-Dade,Florida,12086,8823,195,8628
2020-04-18,Miami-Dade,Florida,12086,9044,198,8846
2020-04-19,Miami-Dade,Florida,12086,9353,207,9146
2020-04-20,Miami-Dade,Florida,12086,9656,223,9433
2020-04-21,Miami-Dade,Florida,12086,10055,233,9822
2020-04-22,Miami-Dade,Florida,12086,10152,240,9912
2020-04-23,Miami-Dade,Florida,12086,10587,270,10317
2020-04-24,Miami-Dade,Florida,12086,10925,287,10638
2020-04-25,Miami-Dade,Florida,12086,11004,295,10709
2020-04-26,Miami-Dade,Florida,12086,11350,301,11049
2020-04-27,Miami-Dade,Florida,12086,11569,302,11267
2020-04-28,Miami-Dade,Florida,12086,11830,324,11506
2020-04-29,Miami-Dade,Florida,12086,11926,338,11588
2020-04-30,Miami-Dade,Florida,12086,12063,352,11711
2020-05-01,Miami-Dade,Florida,12086,12388,358,12030
2020-05-02,Miami-Dade,Florida,12086,12631,367,12264
2020-05-03,Miami-Dade,Florida,12086,12774,369,12405
2020-05-04,Miami-Dade,Florida,12086,13091,378,12713
2020-05-05,Miami-Dade,Florida,12086,13223,407,12816
2020-05-06,Miami-Dade,Florida,12086,13370,432,12938
2020-05-07,Miami-Dade,Florida,12086,13584,454,13130
2020-05-08,Miami-Dade,Florida,12086,13663,468,13195
2020-05-09,Miami-Dade,Florida,12086,13840,482,13358
2020-05-10,Miami-Dade,Florida,12086,14006,487,13519
2020-05-11,Miami-Dade,Florida,12086,14166,490,13676
2020-05-12,Miami-Dade,Florida,12086,14384,505,13879
2020-05-13,Miami-Dade,Florida,12086,14467,518,13949
2020-05-14,Miami-Dade,Florida,12086,14741,535,14206
2020-05-15,Miami-Dade,Florida,12086,15010,548,14462
2020-05-16,Miami-Dade,Florida,12086,15365,559,14806
2020-05-17,Miami-Dade,Florida,12086,15657,561,15096
2020-05-18,Miami-Dade,Florida,12086,15863,566,15297
2020-05-19,Miami-Dade,Florida,12086,15941,578,15363
2020-05-20,Miami-Dade,Florida,12086,16033,578,15455
2020-05-21,Miami-Dade,Florida,12086,16366,602,15764
2020-05-22,Miami-Dade,Florida,12086,16521,614,15907
2020-05-23,Miami-Dade,Florida,12086,16693,629,16064
2020-05-24,Miami-Dade,Florida,12086,16844,631,16213
2020-05-25,Miami-Dade,Florida,12086,17040,633,16407
2020-05-26,Miami-Dade,Florida,12086,17167,633,16534
2020-05-27,Miami-Dade,Florida,12086,17224,655,16569
2020-05-28,Miami-Dade,Florida,12086,17395,669,16726
2020-05-29,Miami-Dade,Florida,12086,17640,685,16955
2020-05-30,Miami-Dade,Florida,12086,17825,700,17125
2020-05-31,Miami-Dade,Florida,12086,17999,700,17299
2020-06-01,Miami-Dade,Florida,12086,18138,702,17436
2020-06-02,Miami-Dade,Florida,12086,18223,722,17501
2020-06-03,Miami-Dade,Florida,12086,18455,731,17724
2020-06-04,Miami-Dade,Florida,12086,18778,746,18032
2020-06-05,Miami-Dade,Florida,12086,19055,760,18295
2020-06-06,Miami-Dade,Florida,12086,19298,765,18533
2020-06-07,Miami-Dade,Florida,12086,19546,765,18781
2020-06-08,Miami-Dade,Florida,12086,19755,767,18988
2020-06-09,Miami-Dade,Florida,12086,19979,774,19205
2020-06-10,Miami-Dade,Florida,12086,20276,784,19492
2020-06-11,Miami-Dade,Florida,12086,20547,798,19749
2020-06-12,Miami-Dade,Florida,12086,20871,809,20062
2020-06-13,Miami-Dade,Florida,12086,21632,822,20810
2020-06-14,Miami-Dade,Florida,12086,21916,825,21091
2020-06-15,Miami-Dade,Florida,12086,22196,826,21370
2020-06-16,Miami-Dade,Florida,12086,22740,847,21893
2020-06-17,Miami-Dade,Florida,12086,23272,850,22422
2020-06-18,Miami-Dade,Florida,12086,23853,859,22994
2020-06-19,Miami-Dade,Florida,12086,24375,864,23511
2020-06-20,Miami-Dade,Florida,12086,25079,874,24205
2020-06-21,Miami-Dade,Florida,12086,25789,884,24905
2020-06-22,Miami-Dade,Florida,12086,26238,884,25354
2020-06-23,Miami-Dade,Florida,12086,26821,902,25919
2020-06-24,Miami-Dade,Florida,12086,27778,926,26852
2020-06-25,Miami-Dade,Florida,12086,28663,935,27728
2020-06-26,Miami-Dade,Florida,12086,30195,946,29249
