fips,cases,deaths,cured
1001,7257,113,7144
1003,22027,315,21712
1005,2346,60,2286
1007,2693,64,2629
1009,6987,139,6848
1011,1249,42,1207
1013,2262,71,2191
1015,14776,330,14446
1017,3736,123,3613
1019,1874,45,1829
1021,4481,116,4365
1023,624,25,599
1025,3533,61,3472
1027,1603,59,1544
1029,1542,43,1499
1031,5673,128,5545
1033,6431,140,6291
1035,1142,30,1112
1037,1123,29,1094
1039,4296,124,4172
1041,1584,57,1527
1043,10008,201,9807
1045,4946,117,4829
1047,3622,159,3463
1049,9028,190,8838
1051,10315,214,10101
1053,4035,80,3955
1055,14241,366,13875
1057,2201,63,2138
1059,4326,81,4245
1061,2593,81,2512
1063,937,34,903
1065,2274,78,2196
1067,1953,44,1909
1069,10840,289,10551
1071,7040,114,6926
1073,81290,1569,79721
1075,1476,38,1438
1077,9645,251,9394
1079,3144,100,3044
1081,16332,177,16155
1083,10209,158,10051
1085,1421,54,1367
1087,1635,52,1583
1089,35846,526,35320
1091,2509,66,2443
1093,3286,106,3180
1095,12493,231,12262
1097,42393,839,41554
1099,1826,41,1785
1101,25124,614,24510
1103,14666,287,14379
1105,1087,27,1060
1107,2372,62,2310
1109,3150,78,3072
1111,1882,44,1838
1113,4560,42,4518
1117,25725,255,25470
1115,10201,250,9951
1119,1062,32,1030
1121,8482,185,8297
1123,4153,155,3998
1125,26229,464,25765
1127,7371,282,7089
1129,1706,39,1667
1131,1272,31,1241
1133,2838,72,2766
2013,367,3,364
2016,730,0,730
2020,30990,176,30814
2050,3917,22,3895
2997,201,0,201
2068,111,0,111
2070,233,2,231
2090,8002,44,7958
2100,28,0,28
2110,1469,3,1466
2122,4551,19,4532
2130,656,1,655
2150,1122,6,1116
2158,1401,4,1397
2170,11795,58,11737
2180,405,0,405
2185,1082,4,1078
2188,625,2,623
2195,166,0,166
2198,175,2,173
2220,366,1,365
2230,21,0,21
2240,766,5,761
2261,685,2,683
2275,63,0,63
2998,81,2,79
2290,368,4,364
4001,11491,436,11055
4003,12206,293,11913
4005,18051,331,17720
4007,7089,229,6860
4009,5594,85,5509
4011,577,10,567
4012,2495,78,2417
4013,560181,10280,549901
4015,23764,752,23012
4017,16694,552,16142
4019,117731,2427,115304
4021,54003,907,53096
4023,8085,180,7905
4025,19595,528,19067
4027,37319,848,36471
5001,2219,38,2181
5003,2062,35,2027
5005,3445,104,3341
5007,29891,423,29468
5009,4059,80,3979
5011,1460,33,1427
5013,422,3,419
5015,2887,46,2841
5017,1629,41,1588
5019,2214,41,2173
5021,1807,52,1755
5023,2074,74,2000
5025,997,25,972
5027,2407,57,2350
5029,2266,34,2232
5031,13819,186,13633
5033,7250,120,7130
5035,6186,97,6089
5037,1988,51,1937
5039,788,16,772
5041,1378,23,1355
5043,2072,45,2027
5045,13127,166,12961
5047,1719,40,1679
5049,1178,47,1131
5051,10564,264,10300
5053,1787,36,1751
5055,6268,78,6190
5057,2077,20,2057
5059,5369,77,5292
5061,1684,25,1659
5063,3967,124,3843
5065,1712,42,1670
5067,3262,38,3224
5069,9245,170,9075
5071,2975,38,2937
5073,561,9,552
5075,2161,43,2118
5077,1707,37,1670
5079,3258,48,3210
5081,1273,43,1230
5083,2289,25,2264
5085,7739,125,7614
5087,1492,23,1469
5089,1134,30,1104
5091,4463,38,4425
5093,5923,110,5813
5095,889,18,871
5097,767,33,734
5099,892,24,868
5101,764,26,738
5103,2445,63,2382
