date,county,state,fips,cases,deaths,cured
2020-01-24,Cook,Illinois,17031,1,0,1
2020-01-25,Cook,Illinois,17031,1,0,1
2020-01-26,Cook,Illinois,17031,1,0,1
2020-01-27,Cook,Illinois,17031,1,0,1
2020-01-28,Cook,Illinois,17031,1,0,1
2020-01-29,Cook,Illinois,17031,1,0,1
2020-01-30,Cook,Illinois,17031,2,0,2
2020-01-31,Cook,Illinois,17031,2,0,2
2020-02-01,Cook,Illinois,17031,2,0,2
2020-02-02,Cook,Illinois,17031,2,0,2
2020-02-03,Cook,Illinois,17031,2,0,2
2020-02-04,Cook,Illinois,17031,2,0,2
2020-02-05,Cook,Illinois,17031,2,0,2
2020-02-06,Cook,Illinois,17031,2,0,2
2020-02-07,Cook,Illinois,17031,2,0,2
2020-02-08,Cook,Illinois,17031,2,0,2
2020-02-09,Cook,Illinois,17031,2,0,2
2020-02-10,Cook,Illinois,17031,2,0,2
2020-02-11,Cook,Illinois,17031,2,0,2
2020-02-12,Cook,Illinois,17031,2,0,2
2020-02-13,Cook,Illinois,17031,2,0,2
2020-02-14,Cook,Illinois,17031,2,0,2
2020-02-15,Cook,Illinois,17031,2,0,2
2020-02-16,Cook,Illinois,17031,2,0,2
2020-02-17,Cook,Illinois,17031,2,0,2
2020-02-18,Cook,Illinois,17031,2,0,2
2020-02-19,Cook,Illinois,17031,2,0,2
2020-02-20,Cook,Illinois,17031,2,0,2
2020-02-21,Cook,Illinois,17031,2,0,2
2020-02-22,Cook,Illinois,17031,2,0,2
2020-02-23,Cook,Illinois,17031,2,0,2
2020-02-24,Cook,Illinois,17031,2,0,2
2020-02-25,Cook,Illinois,17031,2,0,2
2020-02-26,Cook,Illinois,17031,2,0,2
2020-02-27,Cook,Illinois,17031,2,0,2
2020-02-28,Cook,Illinois,17031,2,0,2
2020-02-29,Cook,Illinois,17031,3,0,3
2020-03-01,Cook,Illinois,17031,3,0,3
2020-03-02,Cook,Illinois,17031,4,0,4
2020-03-03,Cook,Illinois,17031,4,0,4
2020-03-04,Cook,Illinois,17031,4,0,4
2020-03-05,Cook,Illinois,17031,5,0,5
2020-03-06,Cook,Illinois,17031,6,0,6
2020-03-07,Cook,Illinois,17031,6,0,6
2020-03-08,Cook,Illinois,17031,7,0,7
2020-03-09,Cook,Illinois,17031,11,0,11
2020-03-10,Cook,Illinois,17031,17,0,17
2020-03-11,Cook,Illinois,17031,22,0,22
2020-03-12,Cook,Illinois,17031,27,0,27
2020-03-13,Cook,Illinois,17031,40,0,40
2020-03-13,McCook,South Dakota,46087,1,0,1
2020-03-14,Cook,Illinois,17031,51,0,51
2020-03-14,McCook,South Dakota,46087,1,0,1
2020-03-15,Cook,Illinois,17031,76,0,76
2020-03-15,McCook,South Dakota,46087,1,0,1
2020-03-16,Cook,Illinois,17031,76,0,76
2020-03-16,McCook,South Dakota,46087,1,0,1
2020-03-17,Cook,Illinois,17031,107,1,106
2020-03-17,McCook,South Dakota,46087,1,0,1
2020-03-18,Cook,Illinois,17031,179,1,178
2020-03-18,McCook,South Dakota,46087,1,0,1
2020-03-19,Cook,Illinois,17031,279,2,277
2020-03-19,McCook,South Dakota,46087,1,0,1
2020-03-20,Cook,Illinois,17031,412,3,409
2020-03-20,McCook,South Dakota,46087,1,0,1
2020-03-21,Cook,Illinois,17031,548,4,544
2020-03-21,McCook,South Dakota,46087,1,0,1
2020-03-22,Cook,Illinois,17031,805,6,799
2020-03-22,McCook,South Dakota,46087,1,0,1
2020-03-23,Cook,Illinois,17031,922,9,913
2020-03-23,McCook,South Dakota,46087,2,0,2
2020-03-24,Cook,Illinois,17031,1194,12,1182
2020-03-24,McCook,South Dakota,46087,2,0,2
2020-03-25,Cook,Illinois,17031,1418,13,1405
2020-03-25,McCook,South Dakota,46087,2,0,2
2020-03-26,Cook,Illinois,17031,1904,18,1886
2020-03-26,McCook,South Dakota,46087,2,0,2
2020-03-27,Cook,Illinois,17031,2239,20,2219
2020-03-27,McCook,South Dakota,46087,2,0,2
2020-03-28,Cook,Illinois,17031,2613,28,2585
2020-03-28,McCook,South Dakota,46087,2,0,2
2020-03-29,Cook,Illinois,17031,3445,40,3405
2020-03-29,McCook,South Dakota,46087,2,0,2
2020-03-30,Cook,Georgia,13075,1,0,1
2020-03-30,Cook,Illinois,17031,3727,44,3683
2020-03-30,McCook,South Dakota,46087,2,0,2
2020-03-31,Cook,Georgia,13075,1,0,1
2020-03-31,Cook,Illinois,17031,4496,61,4435
2020-03-31,McCook,South Dakota,46087,2,0,2
2020-04-01,Cook,Georgia,13075,1,0,1
2020-04-01,Cook,Illinois,17031,5152,95,5057
2020-04-01,McCook,South Dakota,46087,2,0,2
2020-04-02,Cook,Georgia,13075,1,0,1
2020-04-02,Cook,Illinois,17031,5575,107,5468
2020-04-02,McCook,South Dakota,46087,2,0,2
2020-04-03,Cook,Georgia,13075,1,0,1
2020-04-03,Cook,Illinois,17031,6473,141,6332
2020-04-03,McCook,South Dakota,46087,2,0,2
2020-04-04,Cook,Georgia,13075,1,0,1
2020-04-04,Cook,Illinois,17031,7439,167,7272
2020-04-04,McCook,South Dakota,46087,2,0,2
2020-04-05,Cook,Georgia,13075,1,0,1
2020-04-05,Cook,Illinois,17031,8043,186,7857
2020-04-05,McCook,South Dakota,46087,2,0,2
2020-04-06,Cook,Georgia,13075,2,0,2
2020-04-06,Cook,Illinois,17031,8728,209,8519
2020-04-06,McCook,South Dakota,46087,2,0,2
2020-04-07,Cook,Georgia,13075,4,0,4
2020-04-07,Cook,Illinois,17031,9509,249,9260
2020-04-07,McCook,South Dakota,46087,2,0,2
2020-04-08,Cook,Georgia,13075,4,0,4
2020-04-08,Cook,Illinois,17031,10520,312,10208
2020-04-08,McCook,South Dakota,46087,2,0,2
2020-04-09,Cook,Georgia,13075,6,0,6
2020-04-09,Cook,Illinois,17031,11415,351,11064
